poi,p_value,i_classes
https://w3id.org/tido/di02#rq_1,What should we deploy?,https://w3id.org/tido#RQ
https://w3id.org/tido/di02#g_1,We would like to know who Sander is,https://w3id.org/tido#Consideration | https://w3id.org/tido#Goal
https://w3id.org/tido/di02#c_2,We should be able to find out where he lives and studies through something like Facebook or LinkedIn,https://w3id.org/tido#Consideration
https://w3id.org/tido/di02#o_1,Check out who Sander is through social media,https://w3id.org/tido#Option
https://w3id.org/tido/di02#o_1,Deploy an open-source investigation,https://w3id.org/tido#Option
https://w3id.org/tido/di02#c_3,"If you find nothing about someone online, you should be worried",https://w3id.org/tido#Consideration
https://w3id.org/tido/di02#c_4,Most people leave traces behind online because they have been a member of a club or went to a party,https://w3id.org/tido#Consideration
https://w3id.org/tido/di02#rq_2,Should we deploy anything else?,https://w3id.org/tido#RQ
https://w3id.org/tido/di02#o_2,Consult legal advisor Ton,https://w3id.org/tido#Option
https://w3id.org/tido/di02#rq_3,What are our options?,https://w3id.org/tido#RQ
